,Ticker,Company Name,Country,Sector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
77895,LAMR,LAMAR ADVERTISING COMPANY,US,Media & Entertainment,B,1.7,8.3,2.4,3.6
78148,LANC,LANCASTER COLONY CORPORATION,US,Food Products,BB,3.8,0.9,5.3,5.9
78401,LAUR,"LAUREATE EDUCATION, INC",US,Diversified Consumer Services,B,1.7,5.4,4.2,4.1
78462,LDOS,"LEIDOS HOLDINGS, INC",US,Software & Services,AA,8.1,6.6,4.8,7.2
78463,LDOS,"LEIDOS, INC",US,Aerospace & Defense,AA,8.1,6.6,4.8,7.2
78968,LEA,LEAR CORPORATION,US,Auto Components,BBB,5.3,3.3,4.3,5.5
79221,LECO,"LINCOLN ELECTRIC HOLDINGS, INC",US,Industrial Machinery,BBB,4.6,3.4,5.9,4.5
79474,LEG,LEG Immobilien SE,DE,Real Estate Management & Services,AA,8.2,3.1,9.6,7.1
79475,LEG,"LEGGETT & PLATT, INCORPORATED",US,Household Durables,A,5.9,7.2,3.4,5.2
79980,LEN,LENNAR CORPORATION,US,Real Estate Development & Diversified Activities,BB,3.2,5.3,3.1,2.1
80233,LESL,Leslies Inc,US,Retail - Consumer Discretionary,A,6.3,0.7,5.3,6.3
80234,LFUS,"LITTELFUSE, INC",US,"Electronic Equipment, Instruments & Components",BBB,5.5,3.6,4.9,4.6
80487,LH,LABORATORY CORPORATION OF AMERICA HOLDINGS,US,Health Care Providers & Services,A,7.0,10.0,5.1,6.2
80488,LH,Land and Houses Public Company Limited,TH,Real Estate Development & Diversified Activities,BB,4.1,3.4,5.1,3.8
80993,LHCG,"LHC GROUP, INC",US,Health Care Providers & Services,AA,8.4,5.9,6.1,6.5
81246,LHX,"L3HARRIS TECHNOLOGIES, INC",US,Aerospace & Defense,A,6.8,3.3,5.6,5.1
81499,LII,LENNOX INTERNATIONAL INC,US,Building Products,AA,7.7,5.6,7.3,4.5
81752,LIN,LINDE INC,US,Specialty Chemicals,A,6.5,5.3,10.0,5.8
81753,LIN,LINDE PUBLIC LIMITED COMPANY,GB,Specialty Chemicals,A,6.5,5.3,10.0,5.8
82258,LITE,LUMENTUM HOLDINGS INC,US,"Technology Hardware, Storage & Peripherals",A,5.8,2.1,3.6,6.2
82511,LKQ,LKQ CORPORATION,US,Retail - Consumer Discretionary,AA,8.3,2.8,6.3,6.7
82764,LMND,"LEMONADE, INC",US,Property & Casualty Insurance,B,1.7,0.0,3.3,5.9
82765,LMT,LOCKHEED MARTIN CORPORATION,US,Aerospace & Defense,A,7.0,3.7,4.5,6.2
83018,LNC,LINCOLN NATIONAL CORPORATION,US,Life & Health Insurance,BBB,5.5,7.5,4.1,5.4
83271,LNT,INTERSTATE POWER AND LIGHT COMPANY,US,Utilities,AA,7.9,7.0,8.0,6.0
83272,LNT,WISCONSIN POWER AND LIGHT COMPANY,US,Utilities,A,6.5,6.7,3.1,6.0
83777,LOPE,"GRAND CANYON EDUCATION, INC",US,Diversified Consumer Services,BBB,4.8,5.9,3.4,6.3
84029,LOW,"LOWES COMPANIES, INC",US,Retail - Consumer Discretionary,AA,8.5,7.6,4.3,7.0
84030,LOW,RONA INC,CA,Retail - Consumer Discretionary,AA,8.5,7.6,4.3,7.0
84535,LPLA,LPL FINANCIAL HOLDINGS INC,US,Investment Banking & Brokerage,A,7.1,5.4,3.7,6.6
84788,LPSN,"LIVEPERSON, INC",US,Software & Services,BBB,5.7,3.9,5.0,4.9
84852,LPT,LIBERTY PROPERTY LIMITED PARTNERSHIP,US,Real Estate Management & Services,A,6.6,7.1,6.2,5.1
84874,LRCX,LAM RESEARCH CORPORATION,US,Semiconductors & Semiconductor Equipment,AA,8.5,2.5,8.6,6.0
85127,LSCC,LATTICE SEMICONDUCTOR CORPORATION,US,Semiconductors & Semiconductor Equipment,BBB,5.5,3.8,5.5,5.7
85256,LSI,"LIFE STORAGE, INC",US,Real Estate Management & Services,BB,3.7,3.6,3.7,6.4
85509,LSTR,"LANDSTAR SYSTEM, INC",US,Road & Rail Transport,AA,7.7,5.0,3.8,6.6
85762,LULU,LULULEMON ATHLETICA INC,CA,"Textiles, Apparel & Luxury Goods",A,6.0,4.2,4.5,5.8
86015,LUMN,"LUMEN TECHNOLOGIES, INC",US,Telecommunication Services,A,6.6,10.0,5.7,4.4
86268,LUV,SOUTHWEST AIRLINES CO,US,Airlines,BB,3.9,2.7,4.6,4.1
86521,LVS,LAS VEGAS SANDS CORP,US,Casinos & Gaming,BBB,5.1,6.4,4.8,3.5
86774,LW,"LAMB WESTON HOLDINGS, INC",US,Food Products,A,7.0,3.1,5.1,6.6
